// NAME,
scenario_name,[18] Gatekeeper
,
// DESCRIPTION,
scenario_descr,"Human bravery and tactical ingenuity has outmatched the Bug; a massive horde of Arachnids has been lured into a trap with no way to escape.

While the Fleet begins to bomb the enemy out of existence through relentless airstrikes, the Mobile Infantry must keep the door shut and prevent any break-out attempts."
,
// OBJECTIVES,
objective_2_0_title,Do not lose the main base
objective_2_2_title,Prevent too many bugs from escaping
objective_2_6_title,Clear the Bug Hive
objective_2_7_title,Kill bugs for extra Material
objective_2_14_title,Defeat 1 attack wave
objective_2_13_title,Defeat 2 attack waves
objective_2_9_title,Defeat 3 attack waves
objective_2_10_title,Defeat 4 attack waves
objective_2_11_title,Defeat 5 attack waves
objective_2_12_title,Defeat 6 attack waves
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_411,Exit A
unit_413,Exit C
unit_437,Exit Point
unit_438,Exit Point
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/DON'T LOSE BASE/TRIGGERS/OUTRO/BRIEFING ============== ",
// 3.victor yarrow,
briefing_trigger_378_text,Bombing run complete. Fleet turned the desert into a killing field.
//,
// 2.ava cortez,
briefing_trigger_646_text,How many Bugs did they get out in the desert?
//,
// 3.victor yarrow,
briefing_trigger_647_text,"We're still calculating their casualties, but even the lowest estimates suggest we've achieved a critical weakening of the Arachnid force on Kwalasha."
//,
// 2.ava cortez,
briefing_trigger_648_text,Well that makes all this worth it.
,
,
,
,
"// ============== /OBJECTIVES/DON'T LOSE BASE/TRIGGERS/FAIL ============== ",
// 2.ava cortez,
briefing_trigger_376_text,The base has fallen! It's over...
,
,
,
,
"// ============== /OBJECTIVES/DON'T LOSE BASE/BRIEFING ============== ",
// 3.victor yarrow,
briefing_trigger_329_text,"Fleet’s about to drop the hammer, so those bugs are desperate to escape."
//,
// 2.ava cortez,
briefing_trigger_330_text,It's not ideal.  Some of these fortifications are FUBAR . . . but we'll work with what we've got.
briefing_trigger_331_text,We will hold them here while the TAC Fighters unleash hell on Earth.
//,
// 3.victor yarrow,
briefing_trigger_333_text,You mean hell on Kwalasha. Not that this planet was any Eden to begin with.
,
,
,
,
"// ============== /OBJECTIVES/PREVENT ESCAPEES/TRIGGERS/WARNING 1 ============== ",
