// NAME,
scenario_name,[11] Mental Issues
,
// DESCRIPTION,
scenario_descr,"An officer of the Military Intelligence branch has crash-landed in bug territory. While no further information is provided, his extraction appears vital for the war effort.

To avoid the attraction of substantial Arachnid forces, small units of elite special forces have infiltrated the surroundings and must make their way to the crash site."
,
// OBJECTIVES,
objective_2_0_title,Contact Victor Yarrow
objective_2_1_title,Gather 6 War Support
objective_2_2_title,Defend until Victor's shuttle arrives
objective_2_3_title,Victor Yarrow must survive
objective_2_7_title,Escort Victor to the central allied base
objective_2_8_title,Rendezvous with the Tactical Officer
objective_2_9_title,Do not lose any units
objective_2_6_title,Capture Materiel Caches
objective_2_13_title,Clear Hives
objective_2_14_title,Deploy 3 M9 Sledgehammers
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_250,Snipers
unit_581,Central Base
unit_582,Radio Entrance
unit_589,Victor Evac
unit_591,Objective marker
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/CRAWLER EVENTS/OBJECTIVE: MEET OTHERS/INTRO ============== ",
// 2.ava cortez,
briefing_trigger_514_text,"Command, we're at the designated drop point. We're beginning our search for the target's crashed dropship now."
,
,
,
,
"// ============== /OBJECTIVES/CRAWLER EVENTS/OBJECTIVE: REACH VICTOR/BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_516_text,"OK, listen up. I’m Colonel Ava Cortez, and I’m in charge now. Colonel Hawthorne has been court-martialed for insubordination and dereliction of duty and removed from command."
briefing_trigger_565_text,"In light of his distinguished service record, the Federation went easy on him. The usual punishment in wartime is a noose. And Command has graciously decided to overlook the actions of all you troopers who went along with his plan."
briefing_trigger_517_text,"Listen, despite what you may think, I'm not celebrating Hawthorne's dismissal. The colonel was a friend and a good soldier, and he deserved better."
briefing_trigger_566_text,"But he made his choice, and so things are gonna change around here, starting now."
briefing_trigger_518_text,"Enough chit chat, we have a man to rescue."
,
,
,
,
"// ============== /OBJECTIVES/CRAWLER EVENTS/OBJECTIVE: REACH VICTOR/OBJECTIVE ============== ",
// 2.ava cortez,
briefing_trigger_519_text,Hawthorne trained you. I expect you troopers to do him proud.
,
,
,
,
"// ============== /OBJECTIVES/CRAWLER EVENTS/FAIL: LOSE ANY UNIT ============== ",
