unit_157,Instant Spawn Marker
unit_4000,Radio Station
unit_4001,Radio Station
unit_66_descr,"This M11 Honor Guard is a killing machine armed with both a howitzer and minigun. It has less armor than the standard Marauders, but moves slightly faster and can call in reinforcements."
unit_35_descr,Snipers are trained to hit targets over a long range with impeccable accuracy. They excel against unarmored targets but can also serve effectively as scouts.
unit_4010,M4A Grinder
unit_4010_descr,This light weapon platform mounts quad machine guns to provide fire support against lightly armored ground targets. It is also particularly effective against airborne targets.
unit_4045,M4A Grinder
unit_4017,M9A Sledgehammer (Assault)
unit_4017_descr,This biped mounts a heavy mortar to provide powerful indirect fire support. It excels at destroying enemies from long range but has a low rate of fire and cannot engage nearby targets.
unit_4026,M9A Sledgehammer (Siege)
unit_170,General
unit_171,Wavebreaker Mortar (Damaged)
unit_3215,Ravager (Raged)
unit_2126,Immolator (Burning)
unit_63,Drone Nest
unit_93,Drone Nest (Collapsed)
unit_4023,Sniper Turret
unit_23_descr,"The Morita Mk II rifle provides excellent medium range fire support against light to medium armored targets with its underslung grenade launcher, but these units are vulnerable in close combat."
unit_1100,Hunter-Killer Merc
unit_1156,Hunter-Killer Merc
unit_1100_descr,Long range marksman that fires incendiary bullets with impeccable accuracy. These explode on impact and cause a small fire pool which deals additional damage.
unit_1101,E-Pulse Troopers
unit_1101_descr,The E-Pulse 44 Rifle has a fairly short range but is effective against light to medium armored targets.
unit_124,Fortis E-Pulse Troopers
unit_1154,Fortis E-Pulse Troopers
unit_124_descr,These troopers wear 'Fortis' powered armor suits which increase the chance of survival while keeping battlefield mobility on par with unarmored troopers. Their E-Pulse rifles are effective at short range against light to medium armored targets.
unit_1102,M6A Jaeger
unit_1102_descr,This lightly armored biped is equipped with a powerful anti-armor gun. It should be deployed to destroy armored opponents from a safe distance or while protected by other more resilient unit types.
unit_1128,Kamikaze Drone
unit_1129,Drop Turret
unit_161,Power Core
unit_300,Radio Station
unit_301,Radio Station
unit_302,Radio Station
unit_303,Radio Station
unit_304,Radio Station
unit_305,Radio Station
unit_306,Radio Station
unit_307,Radio Station
unit_308,Satellite Station
unit_309,Satellite Station
unit_102,Heavy Weapon Depot
unit_2020,Flamethrower Turret
unit_2020_descr,"These turrets have a limited firing range but are effective at stopping streams of enemy melee units, especially when positioned in choke points. They are vulnerable to long range attacks or simultaneous attacks from multiple directions."
unit_2148,Engineering Biped (Disabled)
unit_2149,Light Engineering Biped
unit_2151,Light Engineering Biped
